,pokedex_number,name,generation,species,type_1,type_2,height_m,weight_kg,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed
415,348,Armaldo,3,Plate Pokémon,Rock,Bug,1.5,68.2,Battle Armor,None,Swift Swim,495,75,125,100,70,80,45
416,349,Feebas,3,Fish Pokémon,Water,None,0.6,7.4,Swift Swim,Oblivious,Adaptability,200,20,15,20,10,55,80
417,350,Milotic,3,Tender Pokémon,Water,None,6.2,162,Marvel Scale,Competitive,Cute Charm,540,95,60,79,100,125,81
418,351,Castform,3,Weather Pokémon,Normal,None,0.3,0.8,Forecast,None,None,420,70,70,70,70,70,70
419,351,Castform Sunny Form,3,Weather Pokémon,Fire,None,0.3,0.8,Forecast,None,None,420,70,70,70,70,70,70
420,351,Castform Rainy Form,3,Weather Pokémon,Water,None,0.3,0.8,Forecast,None,None,420,70,70,70,70,70,70
421,351,Castform Snowy Form,3,Weather Pokémon,Ice,None,0.3,0.8,Forecast,None,None,420,70,70,70,70,70,70
422,352,Kecleon,3,Color Swap Pokémon,Normal,None,1,22,Color Change,None,Protean,440,60,90,70,60,120,40
423,353,Shuppet,3,Puppet Pokémon,Ghost,None,0.6,2.3,Insomnia,Frisk,Cursed Body,295,44,75,35,63,33,45
424,354,Banette,3,Marionette Pokémon,Ghost,None,1.1,12.5,Insomnia,Frisk,Cursed Body,455,64,115,65,83,63,65
425,354,Mega Banette,3,Marionette Pokémon,Ghost,None,1.2,13,Prankster,None,None,555,64,165,75,93,83,75
426,355,Duskull,3,Requiem Pokémon,Ghost,None,0.8,15,Levitate,None,Frisk,295,20,40,90,30,90,25
427,356,Dusclops,3,Beckon Pokémon,Ghost,None,1.6,30.6,Pressure,None,Frisk,455,40,70,130,60,130,25
428,357,Tropius,3,Fruit Pokémon,Grass,Flying,2,100,Chlorophyll,Solar Power,Harvest,460,99,68,83,72,87,51
429,358,Chimecho,3,Wind Chime Pokémon,Psychic,None,0.6,1,Levitate,None,None,455,75,50,80,95,90,65
430,359,Absol,3,Disaster Pokémon,Dark,None,1.2,47,Pressure,Super Luck,Justified,465,65,130,60,75,60,75
431,359,Mega Absol,3,Disaster Pokémon,Dark,None,1.2,49,Magic Bounce,None,None,565,65,150,60,115,60,115
432,360,Wynaut,3,Bright Pokémon,Psychic,None,0.6,14,Shadow Tag,None,Telepathy,260,95,23,48,23,48,23
433,361,Snorunt,3,Snow Hat Pokémon,Ice,None,0.7,16.8,Inner Focus,Ice Body,Moody,300,50,50,50,50,50,50
434,362,Glalie,3,Face Pokémon,Ice,None,1.5,256.5,Inner Focus,Ice Body,Moody,480,80,80,80,80,80,80
435,362,Mega Glalie,3,Face Pokémon,Ice,None,2.1,350.2,Refrigerate,None,None,580,80,120,80,120,80,100
436,363,Spheal,3,Clap Pokémon,Ice,Water,0.8,39.5,Thick Fat,Ice Body,Oblivious,290,70,40,50,55,50,25
437,364,Sealeo,3,Ball Roll Pokémon,Ice,Water,1.1,87.6,Thick Fat,Ice Body,Oblivious,410,90,60,70,75,70,45
438,365,Walrein,3,Ice Break Pokémon,Ice,Water,1.4,150.6,Thick Fat,Ice Body,Oblivious,530,110,80,90,95,90,65
439,366,Clamperl,3,Bivalve Pokémon,Water,None,0.4,52.5,Shell Armor,None,Rattled,345,35,64,85,74,55,32
440,367,Huntail,3,Deep Sea Pokémon,Water,None,1.7,27,Swift Swim,None,Water Veil,485,55,104,105,94,75,52
441,368,Gorebyss,3,South Sea Pokémon,Water,None,1.8,22.6,Swift Swim,None,Hydration,485,55,84,105,114,75,52
442,369,Relicanth,3,Longevity Pokémon,Water,Rock,1,23.4,Swift Swim,Rock Head,Sturdy,485,100,90,130,45,65,55
443,370,Luvdisc,3,Rendezvous Pokémon,Water,None,0.6,8.7,Swift Swim,None,Hydration,330,43,30,55,40,65,97
444,371,Bagon,3,Rock Head Pokémon,Dragon,None,0.6,42.1,Rock Head,None,Sheer Force,300,45,75,60,40,30,50
445,372,Shelgon,3,Endurance Pokémon,Dragon,None,1.1,110.5,Rock Head,None,Overcoat,420,65,95,100,60,50,50
446,373,Salamence,3,Dragon Pokémon,Dragon,Flying,1.5,102.6,Intimidate,None,Moxie,600,95,135,80,110,80,100
447,373,Mega Salamence,3,Dragon Pokémon,Dragon,Flying,1.8,112.6,Aerilate,None,None,700,95,145,130,120,90,120
448,374,Beldum,3,Iron Ball Pokémon,Steel,Psychic,0.6,95.2,Clear Body,None,Light Metal,300,40,55,80,35,60,30
449,375,Metang,3,Iron Claw Pokémon,Steel,Psychic,1.2,202.5,Clear Body,None,Light Metal,420,60,75,100,55,80,50
450,376,Metagross,3,Iron Leg Pokémon,Steel,Psychic,1.6,550,Clear Body,None,Light Metal,600,80,135,130,95,90,70
451,376,Mega Metagross,3,Iron Leg Pokémon,Steel,Psychic,2.5,942.9,Tough Claws,None,None,700,80,145,150,105,110,110
452,377,Regirock,3,Rock Peak Pokémon,Rock,None,1.7,230,Clear Body,None,Sturdy,580,80,100,200,50,100,50
453,378,Regice,3,Iceberg Pokémon,Ice,None,1.8,175,Clear Body,None,Ice Body,580,80,50,100,100,200,50
454,379,Registeel,3,Iron Pokémon,Steel,None,1.9,205,Clear Body,None,Light Metal,580,80,75,150,75,150,50
455,380,Latias,3,Eon Pokémon,Dragon,Psychic,1.4,40,Levitate,None,None,600,80,80,90,110,130,110
456,380,Mega Latias,3,Eon Pokémon,Dragon,Psychic,1.8,52,Levitate,None,None,700,80,100,120,140,150,110
457,381,Latios,3,Eon Pokémon,Dragon,Psychic,2,60,Levitate,None,None,600,80,90,80,130,110,110
458,381,Mega Latios,3,Eon Pokémon,Dragon,Psychic,2.3,70,Levitate,None,None,700,80,130,100,160,120,110
459,382,Kyogre,3,Sea Basin Pokémon,Water,None,4.5,352,Drizzle,None,None,670,100,100,90,150,140,90
460,382,Primal Kyogre,3,Sea Basin Pokémon,Water,None,9.8,430,Primordial Sea,None,None,770,100,150,90,180,160,90
461,383,Groudon,3,Continent Pokémon,Ground,None,3.5,950,Drought,None,None,670,100,150,140,100,90,90
462,383,Primal Groudon,3,Continent Pokémon,Ground,Fire,5,999.7,Desolate Land,None,None,770,100,180,160,150,90,90
463,384,Rayquaza,3,Sky High Pokémon,Dragon,Flying,7,206.5,Air Lock,None,None,680,105,150,90,150,90,95
464,384,Mega Rayquaza,3,Sky High Pokémon,Dragon,Flying,10.8,392,Delta Stream,None,None,780,105,180,100,180,100,115
465,385,Jirachi,3,Wish Pokémon,Steel,Psychic,0.3,1.1,Serene Grace,None,None,600,100,100,100,100,100,100
466,386,Deoxys Normal Forme,3,DNA Pokémon,Psychic,None,1.7,60.8,Pressure,None,None,600,50,150,50,150,50,150
467,386,Deoxys Attack Forme,3,DNA Pokémon,Psychic,None,1.7,60.8,Pressure,None,None,600,50,180,20,180,20,150
468,386,Deoxys Defense Forme,3,DNA Pokémon,Psychic,None,1.7,60.8,Pressure,None,None,600,50,70,160,70,160,90
469,386,Deoxys Speed Forme,3,DNA Pokémon,Psychic,None,1.7,60.8,Pressure,None,None,600,50,95,90,95,90,180
470,387,Turtwig,4,Tiny Leaf Pokémon,Grass,None,0.4,10.2,Overgrow,None,Shell Armor,318,55,68,64,45,55,31
471,388,Grotle,4,Grove Pokémon,Grass,None,1.1,97,Overgrow,None,Shell Armor,405,75,89,85,55,65,36
472,389,Torterra,4,Continent Pokémon,Grass,Ground,2.2,310,Overgrow,None,Shell Armor,525,95,109,105,75,85,56
473,390,Chimchar,4,Chimp Pokémon,Fire,None,0.5,6.2,Blaze,None,Iron Fist,309,44,58,44,58,44,61
474,391,Monferno,4,Playful Pokémon,Fire,Fighting,0.9,22,Blaze,None,Iron Fist,405,64,78,52,78,52,81
475,392,Infernape,4,Flame Pokémon,Fire,Fighting,1.2,55,Blaze,None,Iron Fist,534,76,104,71,104,71,108
476,393,Piplup,4,Penguin Pokémon,Water,None,0.4,5.2,Torrent,None,Defiant,314,53,51,53,61,56,40
477,394,Prinplup,4,Penguin Pokémon,Water,None,0.8,23,Torrent,None,Defiant,405,64,66,68,81,76,50
478,395,Empoleon,4,Emperor Pokémon,Water,Steel,1.7,84.5,Torrent,None,Defiant,530,84,86,88,111,101,60
479,396,Starly,4,Starling Pokémon,Normal,Flying,0.3,2,Keen Eye,None,Reckless,245,40,55,30,30,30,60
480,397,Staravia,4,Starling Pokémon,Normal,Flying,0.6,15.5,Intimidate,None,Reckless,340,55,75,50,40,40,80
481,398,Staraptor,4,Predator Pokémon,Normal,Flying,1.2,24.9,Intimidate,None,Reckless,485,85,120,70,50,60,100
482,399,Bidoof,4,Plump Mouse Pokémon,Normal,None,0.5,20,Simple,Unaware,Moody,250,59,45,40,35,40,31
483,400,Bibarel,4,Beaver Pokémon,Normal,Water,1,31.5,Simple,Unaware,Moody,410,79,85,60,55,60,71
484,401,Kricketot,4,Cricket Pokémon,Bug,None,0.3,2.2,Shed Skin,None,Run Away,194,37,25,41,25,41,25
485,402,Kricketune,4,Cricket Pokémon,Bug,None,1,25.5,Swarm,None,Technician,384,77,85,51,55,51,65
486,403,Shinx,4,Flash Pokémon,Electric,None,0.5,9.5,Rivalry,Intimidate,Guts,263,45,65,34,40,34,45
487,404,Luxio,4,Spark Pokémon,Electric,None,0.9,30.5,Rivalry,Intimidate,Guts,363,60,85,49,60,49,60
488,405,Luxray,4,Gleam Eyes Pokémon,Electric,None,1.4,42,Rivalry,Intimidate,Guts,523,80,120,79,95,79,70
489,406,Budew,4,Bud Pokémon,Grass,Poison,0.2,1.2,Natural Cure,Poison Point,Leaf Guard,280,40,30,35,50,70,55
490,407,Roserade,4,Bouquet Pokémon,Grass,Poison,0.9,14.5,Natural Cure,Poison Point,Technician,515,60,70,65,125,105,90
491,408,Cranidos,4,Head Butt Pokémon,Rock,None,0.9,31.5,Mold Breaker,None,Sheer Force,350,67,125,40,30,30,58
492,409,Rampardos,4,Head Butt Pokémon,Rock,None,1.6,102.5,Mold Breaker,None,Sheer Force,495,97,165,60,65,50,58
493,410,Shieldon,4,Shield Pokémon,Rock,Steel,0.5,57,Sturdy,None,Soundproof,350,30,42,118,42,88,30
494,411,Bastiodon,4,Shield Pokémon,Rock,Steel,1.3,149.5,Sturdy,None,Soundproof,495,60,52,168,47,138,30
495,412,Burmy,4,Bagworm Pokémon,Bug,None,0.2,3.4,Shed Skin,None,Overcoat,224,40,29,45,29,45,36
496,413,Wormadam Plant Cloak,4,Bagworm Pokémon,Bug,Grass,0.5,6.5,Anticipation,None,Overcoat,424,60,59,85,79,105,36
497,413,Wormadam Sandy Cloak,4,Bagworm Pokémon,Bug,Ground,0.5,6.5,Anticipation,None,Overcoat,424,60,79,105,59,85,36
498,413,Wormadam Trash Cloak,4,Bagworm Pokémon,Bug,Steel,0.5,6.5,Anticipation,None,Overcoat,424,60,69,95,69,95,36
499,414,Mothim,4,Moth Pokémon,Bug,Flying,0.9,23.3,Swarm,None,Tinted Lens,424,70,94,50,94,50,66
500,415,Combee,4,Tiny Bee Pokémon,Bug,Flying,0.3,5.5,Honey Gather,None,Hustle,244,30,30,42,30,42,70
501,416,Vespiquen,4,Beehive Pokémon,Bug,Flying,1.2,38.5,Pressure,None,Unnerve,474,70,80,102,80,102,40
502,417,Pachirisu,4,EleSquirrel Pokémon,Electric,None,0.4,3.9,Run Away,Pickup,Volt Absorb,405,60,45,70,45,90,95
503,418,Buizel,4,Sea Weasel Pokémon,Water,None,0.7,29.5,Swift Swim,None,Water Veil,330,55,65,35,60,30,85
504,419,Floatzel,4,Sea Weasel Pokémon,Water,None,1.1,33.5,Swift Swim,None,Water Veil,495,85,105,55,85,50,115
505,420,Cherubi,4,Cherry Pokémon,Grass,None,0.4,3.3,Chlorophyll,None,None,275,45,35,45,62,53,35
506,421,Cherrim,4,Blossom Pokémon,Grass,None,0.5,9.3,Flower Gift,None,None,450,70,60,70,87,78,85
507,422,Shellos,4,Sea Slug Pokémon,Water,None,0.3,6.3,Sticky Hold,Storm Drain,Sand Force,325,76,48,48,57,62,34
508,423,Gastrodon,4,Sea Slug Pokémon,Water,Ground,0.9,29.9,Sticky Hold,Storm Drain,Sand Force,475,111,83,68,92,82,39
509,424,Ambipom,4,Long Tail Pokémon,Normal,None,1.2,20.3,Technician,Pickup,Skill Link,482,75,100,66,60,66,115
510,425,Drifloon,4,Balloon Pokémon,Ghost,Flying,0.4,1.2,Aftermath,Unburden,Flare Boost,348,90,50,34,60,44,70
511,426,Drifblim,4,Blimp Pokémon,Ghost,Flying,1.2,15,Aftermath,Unburden,Flare Boost,498,150,80,44,90,54,80
512,427,Buneary,4,Rabbit Pokémon,Normal,None,0.4,5.5,Run Away,Klutz,Limber,350,55,66,44,44,56,85
513,428,Lopunny,4,Rabbit Pokémon,Normal,None,1.2,33.3,Cute Charm,Klutz,Limber,480,65,76,84,54,96,105
514,428,Mega Lopunny,4,Rabbit Pokémon,Normal,Fighting,1.3,28.3,Scrappy,None,None,580,65,136,94,54,96,135
515,429,Mismagius,4,Magical Pokémon,Ghost,None,0.9,4.4,Levitate,None,None,495,60,60,60,105,105,105
516,430,Honchkrow,4,Big Boss Pokémon,Dark,Flying,0.9,27.3,Insomnia,Super Luck,Moxie,505,100,125,52,105,52,71
517,431,Glameow,4,Catty Pokémon,Normal,None,0.5,3.9,Limber,Own Tempo,Keen Eye,310,49,55,42,42,37,85
518,432,Purugly,4,Tiger Cat Pokémon,Normal,None,1,43.8,Thick Fat,Own Tempo,Defiant,452,71,82,64,64,59,112
519,433,Chingling,4,Bell Pokémon,Psychic,None,0.2,0.6,Levitate,None,None,285,45,30,50,65,50,45
520,434,Stunky,4,Skunk Pokémon,Poison,Dark,0.4,19.2,Stench,Aftermath,Keen Eye,329,63,63,47,41,41,74
521,435,Skuntank,4,Skunk Pokémon,Poison,Dark,1,38,Stench,Aftermath,Keen Eye,479,103,93,67,71,61,84
522,436,Bronzor,4,Bronze Pokémon,Steel,Psychic,0.5,60.5,Levitate,Heatproof,Heavy Metal,300,57,24,86,24,86,23
523,437,Bronzong,4,Bronze Bell Pokémon,Steel,Psychic,1.3,187,Levitate,Heatproof,Heavy Metal,500,67,89,116,79,116,33
524,438,Bonsly,4,Bonsai Pokémon,Rock,None,0.5,15,Sturdy,Rock Head,Rattled,290,50,80,95,10,45,10
525,439,Mime Jr.,4,Mime Pokémon,Psychic,Fairy,0.6,13,Soundproof,Filter,Technician,310,20,25,45,70,90,60
526,440,Happiny,4,Playhouse Pokémon,Normal,None,0.6,24.4,Natural Cure,Serene Grace,Friend Guard,220,100,5,5,15,65,30
527,441,Chatot,4,Music Note Pokémon,Normal,Flying,0.5,1.9,Keen Eye,Tangled Feet,Big Pecks,411,76,65,45,92,42,91
528,442,Spiritomb,4,Forbidden Pokémon,Ghost,Dark,1,108,Pressure,None,Infiltrator,485,50,92,108,92,108,35
529,443,Gible,4,Land Shark Pokémon,Dragon,Ground,0.7,20.5,Sand Veil,None,Rough Skin,300,58,70,45,40,45,42
530,444,Gabite,4,Cave Pokémon,Dragon,Ground,1.4,56,Sand Veil,None,Rough Skin,410,68,90,65,50,55,82
531,445,Garchomp,4,Mach Pokémon,Dragon,Ground,1.9,95,Sand Veil,None,Rough Skin,600,108,130,95,80,85,102
532,445,Mega Garchomp,4,Mach Pokémon,Dragon,Ground,1.9,95,Sand Force,None,None,700,108,170,115,120,95,92
533,446,Munchlax,4,Big Eater Pokémon,Normal,None,0.6,105,Pickup,Thick Fat,Gluttony,390,135,85,40,40,85,5
534,447,Riolu,4,Emanation Pokémon,Fighting,None,0.7,20.2,Steadfast,Inner Focus,Prankster,285,40,70,40,35,40,60
535,448,Lucario,4,Aura Pokémon,Fighting,Steel,1.2,54,Steadfast,Inner Focus,Justified,525,70,110,70,115,70,90
536,448,Mega Lucario,4,Aura Pokémon,Fighting,Steel,1.3,57.5,Adaptability,None,None,625,70,145,88,140,70,112
537,449,Hippopotas,4,Hippo Pokémon,Ground,None,0.8,49.5,Sand Stream,None,Sand Force,330,68,72,78,38,42,32
538,450,Hippowdon,4,Heavyweight Pokémon,Ground,None,2,300,Sand Stream,None,Sand Force,525,108,112,118,68,72,47
539,451,Skorupi,4,Scorpion Pokémon,Poison,Bug,0.8,12,Battle Armor,Sniper,Keen Eye,330,40,50,90,30,55,65
540,452,Drapion,4,Ogre Scorp Pokémon,Poison,Dark,1.3,61.5,Battle Armor,Sniper,Keen Eye,500,70,90,110,60,75,95
541,453,Croagunk,4,Toxic Mouth Pokémon,Poison,Fighting,0.7,23,Anticipation,Dry Skin,Poison Touch,300,48,61,40,61,40,50
542,454,Toxicroak,4,Toxic Mouth Pokémon,Poison,Fighting,1.3,44.4,Anticipation,Dry Skin,Poison Touch,490,83,106,65,86,65,85
543,455,Carnivine,4,Bug Catcher Pokémon,Grass,None,1.4,27,Levitate,None,None,454,74,100,72,90,72,46
544,456,Finneon,4,Wing Fish Pokémon,Water,None,0.4,7,Swift Swim,Storm Drain,Water Veil,330,49,49,56,49,61,66
545,457,Lumineon,4,Neon Pokémon,Water,None,1.2,24,Swift Swim,Storm Drain,Water Veil,460,69,69,76,69,86,91
546,458,Mantyke,4,Kite Pokémon,Water,Flying,1,65,Swift Swim,Water Absorb,Water Veil,345,45,20,50,60,120,50
547,459,Snover,4,Frost Tree Pokémon,Grass,Ice,1,50.5,Snow Warning,None,Soundproof,334,60,62,50,62,60,40
548,460,Abomasnow,4,Frost Tree Pokémon,Grass,Ice,2.2,135.5,Snow Warning,None,Soundproof,494,90,92,75,92,85,60
549,460,Mega Abomasnow,4,Frost Tree Pokémon,Grass,Ice,2.7,185,Snow Warning,None,None,594,90,132,105,132,105,30
550,461,Weavile,4,Sharp Claw Pokémon,Dark,Ice,1.1,34,Pressure,None,Pickpocket,510,70,120,65,45,85,125
551,462,Magnezone,4,Magnet Area Pokémon,Electric,Steel,1.2,180,Magnet Pull,Sturdy,Analytic,535,70,70,115,130,90,60
552,463,Lickilicky,4,Licking Pokémon,Normal,None,1.7,140,Own Tempo,Oblivious,Cloud Nine,515,110,85,95,80,95,50
553,464,Rhyperior,4,Drill Pokémon,Ground,Rock,2.4,282.8,Lightning Rod,Solid Rock,Reckless,535,115,140,130,55,55,40
554,465,Tangrowth,4,Vine Pokémon,Grass,None,2,128.6,Chlorophyll,Leaf Guard,Regenerator,535,100,100,125,110,50,50
555,466,Electivire,4,Thunderbolt Pokémon,Electric,None,1.8,138.6,Motor Drive,None,Vital Spirit,540,75,123,67,95,85,95
556,467,Magmortar,4,Blast Pokémon,Fire,None,1.6,68,Flame Body,None,Vital Spirit,540,75,95,67,125,95,83
557,468,Togekiss,4,Jubilee Pokémon,Fairy,Flying,1.5,38,Hustle,Serene Grace,Super Luck,545,85,50,95,120,115,80
558,469,Yanmega,4,Ogre Darner Pokémon,Bug,Flying,1.9,51.5,Speed Boost,Tinted Lens,Frisk,515,86,76,86,116,56,95
559,470,Leafeon,4,Verdant Pokémon,Grass,None,1,25.5,Leaf Guard,None,Chlorophyll,525,65,110,130,60,65,95
560,471,Glaceon,4,Fresh Snow Pokémon,Ice,None,0.8,25.9,Snow Cloak,None,Ice Body,525,65,60,110,130,95,65
561,472,Gliscor,4,Fang Scorp Pokémon,Ground,Flying,2,42.5,Hyper Cutter,Sand Veil,Poison Heal,510,75,95,125,45,75,95
562,473,Mamoswine,4,Twin Tusk Pokémon,Ice,Ground,2.5,291,Oblivious,Snow Cloak,Thick Fat,530,110,130,80,70,60,80
563,474,Porygon-Z,4,Virtual Pokémon,Normal,None,0.9,34,Adaptability,Download,Analytic,535,85,80,70,135,75,90
564,475,Gallade,4,Blade Pokémon,Psychic,Fighting,1.6,52,Steadfast,None,Justified,518,68,125,65,65,115,80
565,475,Mega Gallade,4,Blade Pokémon,Psychic,Fighting,1.6,56.4,Inner Focus,None,None,618,68,165,95,65,115,110
566,476,Probopass,4,Compass Pokémon,Rock,Steel,1.4,340,Sturdy,Magnet Pull,Sand Force,525,60,55,145,75,150,40
567,477,Dusknoir,4,Gripper Pokémon,Ghost,None,2.2,106.6,Pressure,None,Frisk,525,45,100,135,65,135,45
568,478,Froslass,4,Snow Land Pokémon,Ice,Ghost,1.3,26.6,Snow Cloak,None,Cursed Body,480,70,80,70,80,70,110
569,479,Rotom,4,Plasma Pokémon,Electric,Ghost,0.3,0.3,Levitate,None,None,440,50,50,77,95,77,91
570,479,Heat Rotom,4,Plasma Pokémon,Electric,Fire,0.3,0.3,Levitate,None,None,520,50,65,107,105,107,86
571,479,Wash Rotom,4,Plasma Pokémon,Electric,Water,0.3,0.3,Levitate,None,None,520,50,65,107,105,107,86
572,479,Frost Rotom,4,Plasma Pokémon,Electric,Ice,0.3,0.3,Levitate,None,None,520,50,65,107,105,107,86
573,479,Fan Rotom,4,Plasma Pokémon,Electric,Flying,0.3,0.3,Levitate,None,None,520,50,65,107,105,107,86
574,479,Mow Rotom,4,Plasma Pokémon,Electric,Grass,0.3,0.3,Levitate,None,None,520,50,65,107,105,107,86
575,480,Uxie,4,Knowledge Pokémon,Psychic,None,0.3,0.3,Levitate,None,None,580,75,75,130,75,130,95
576,481,Mesprit,4,Emotion Pokémon,Psychic,None,0.3,0.3,Levitate,None,None,580,80,105,105,105,105,80
577,482,Azelf,4,Willpower Pokémon,Psychic,None,0.3,0.3,Levitate,None,None,580,75,125,70,125,70,115
578,483,Dialga,4,Temporal Pokémon,Steel,Dragon,5.4,683,Pressure,None,Telepathy,680,100,120,120,150,100,90
579,484,Palkia,4,Spatial Pokémon,Water,Dragon,4.2,336,Pressure,None,Telepathy,680,90,120,100,150,120,100
580,485,Heatran,4,Lava Dome Pokémon,Fire,Steel,1.7,430,Flash Fire,None,Flame Body,600,91,90,106,130,106,77
581,486,Regigigas,4,Colossal Pokémon,Normal,None,3.7,420,Slow Start,None,None,670,110,160,110,80,110,100
582,487,Giratina Altered Forme,4,Renegade Pokémon,Ghost,Dragon,4.5,750,Pressure,None,Telepathy,680,150,100,120,100,120,90
583,487,Giratina Origin Forme,4,Renegade Pokémon,Ghost,Dragon,6.9,650,Levitate,None,None,680,150,120,100,120,100,90
584,488,Cresselia,4,Lunar Pokémon,Psychic,None,1.5,85.6,Levitate,None,None,600,120,70,120,75,130,85
585,489,Phione,4,Sea Drifter Pokémon,Water,None,0.4,3.1,Hydration,None,None,480,80,80,80,80,80,80
586,490,Manaphy,4,Seafaring Pokémon,Water,None,0.3,1.4,Hydration,None,None,600,100,100,100,100,100,100
587,491,Darkrai,4,Pitch-Black Pokémon,Dark,None,1.5,50.5,Bad Dreams,None,None,600,70,90,90,135,90,125
588,492,Shaymin Land Forme,4,Gratitude Pokémon,Grass,None,0.2,2.1,Natural Cure,None,None,600,100,100,100,100,100,100
589,492,Shaymin Sky Forme,4,Gratitude Pokémon,Grass,Flying,0.4,5.2,Serene Grace,None,None,600,100,103,75,120,75,127
590,493,Arceus,4,Alpha Pokémon,Normal,None,3.2,320,Multitype,None,None,720,120,120,120,120,120,120
591,494,Victini,5,Victory Pokémon,Psychic,Fire,0.4,4,Victory Star,None,None,600,100,100,100,100,100,100
592,495,Snivy,5,Grass Snake Pokémon,Grass,None,0.6,8.1,Overgrow,None,Contrary,308,45,45,55,45,55,63
593,496,Servine,5,Grass Snake Pokémon,Grass,None,0.8,16,Overgrow,None,Contrary,413,60,60,75,60,75,83
594,497,Serperior,5,Regal Pokémon,Grass,None,3.3,63,Overgrow,None,Contrary,528,75,75,95,75,95,113
595,498,Tepig,5,Fire Pig Pokémon,Fire,None,0.5,9.9,Blaze,None,Thick Fat,308,65,63,45,45,45,45
596,499,Pignite,5,Fire Pig Pokémon,Fire,Fighting,1,55.5,Blaze,None,Thick Fat,418,90,93,55,70,55,55
597,500,Emboar,5,Mega Fire Pig Pokémon,Fire,Fighting,1.6,150,Blaze,None,Reckless,528,110,123,65,100,65,65
598,501,Oshawott,5,Sea Otter Pokémon,Water,None,0.5,5.9,Torrent,None,Shell Armor,308,55,55,45,63,45,45
599,502,Dewott,5,Discipline Pokémon,Water,None,0.8,24.5,Torrent,None,Shell Armor,413,75,75,60,83,60,60
600,503,Samurott,5,Formidable Pokémon,Water,None,1.5,94.6,Torrent,None,Shell Armor,528,95,100,85,108,70,70
601,504,Patrat,5,Scout Pokémon,Normal,None,0.5,11.6,Run Away,Keen Eye,Analytic,255,45,55,39,35,39,42
602,505,Watchog,5,Lookout Pokémon,Normal,None,1.1,27,Illuminate,Keen Eye,Analytic,420,60,85,69,60,69,77
603,506,Lillipup,5,Puppy Pokémon,Normal,None,0.4,4.1,Vital Spirit,Pickup,Run Away,275,45,60,45,25,45,55
604,507,Herdier,5,Loyal Dog Pokémon,Normal,None,0.9,14.7,Intimidate,Sand Rush,Scrappy,370,65,80,65,35,65,60
605,508,Stoutland,5,Big-Hearted Pokémon,Normal,None,1.2,61,Intimidate,Sand Rush,Scrappy,500,85,110,90,45,90,80
606,509,Purrloin,5,Devious Pokémon,Dark,None,0.4,10.1,Limber,Unburden,Prankster,281,41,50,37,50,37,66
607,510,Liepard,5,Cruel Pokémon,Dark,None,1.1,37.5,Limber,Unburden,Prankster,446,64,88,50,88,50,106
608,511,Pansage,5,Grass Monkey Pokémon,Grass,None,0.6,10.5,Gluttony,None,Overgrow,316,50,53,48,53,48,64
609,512,Simisage,5,Thorn Monkey Pokémon,Grass,None,1.1,30.5,Gluttony,None,Overgrow,498,75,98,63,98,63,101
610,513,Pansear,5,High Temp Pokémon,Fire,None,0.6,11,Gluttony,None,Blaze,316,50,53,48,53,48,64
611,514,Simisear,5,Ember Pokémon,Fire,None,1,28,Gluttony,None,Blaze,498,75,98,63,98,63,101
612,515,Panpour,5,Spray Pokémon,Water,None,0.6,13.5,Gluttony,None,Torrent,316,50,53,48,53,48,64
613,516,Simipour,5,Geyser Pokémon,Water,None,1,29,Gluttony,None,Torrent,498,75,98,63,98,63,101
614,517,Munna,5,Dream Eater Pokémon,Psychic,None,0.6,23.3,Forewarn,Synchronize,Telepathy,292,76,25,45,67,55,24
615,518,Musharna,5,Drowsing Pokémon,Psychic,None,1.1,60.5,Forewarn,Synchronize,Telepathy,487,116,55,85,107,95,29
616,519,Pidove,5,Tiny Pigeon Pokémon,Normal,Flying,0.3,2.1,Big Pecks,Super Luck,Rivalry,264,50,55,50,36,30,43
617,520,Tranquill,5,Wild Pigeon Pokémon,Normal,Flying,0.6,15,Big Pecks,Super Luck,Rivalry,358,62,77,62,50,42,65
618,521,Unfezant,5,Proud Pokémon,Normal,Flying,1.2,29,Big Pecks,Super Luck,Rivalry,488,80,115,80,65,55,93
619,522,Blitzle,5,Electrified Pokémon,Electric,None,0.8,29.8,Lightning Rod,Motor Drive,Sap Sipper,295,45,60,32,50,32,76
620,523,Zebstrika,5,Thunderbolt Pokémon,Electric,None,1.6,79.5,Lightning Rod,Motor Drive,Sap Sipper,497,75,100,63,80,63,116
621,524,Roggenrola,5,Mantle Pokémon,Rock,None,0.4,18,Sturdy,Weak Armor,Sand Force,280,55,75,85,25,25,15
622,525,Boldore,5,Ore Pokémon,Rock,None,0.9,102,Sturdy,Weak Armor,Sand Force,390,70,105,105,50,40,20
623,526,Gigalith,5,Compressed Pokémon,Rock,None,1.7,260,Sturdy,Sand Stream,Sand Force,515,85,135,130,60,80,25
624,527,Woobat,5,Bat Pokémon,Psychic,Flying,0.4,2.1,Unaware,Klutz,Simple,323,65,45,43,55,43,72
625,528,Swoobat,5,Courting Pokémon,Psychic,Flying,0.9,10.5,Unaware,Klutz,Simple,425,67,57,55,77,55,114
626,529,Drilbur,5,Mole Pokémon,Ground,None,0.3,8.5,Sand Rush,Sand Force,Mold Breaker,328,60,85,40,30,45,68
